2010-01-03	黃嘉松牧師	展翅上騰，熱心事主(1)	書24：14~18	海沃教會	
2010-01-10	黃嘉松牧師	展翅上騰，熱心事主(2)	太4：10	海沃教會	
2010-01-17	黃嘉松牧師	展翅上騰，熱心事主(3)	詩 100:1-5	海沃教會	
2010-01-24	葉耿齊傳道	屬靈成長（二）	路15:11-24	海沃教會	
2010-01-31	陳鴻沫牧師	活潑的盼望	"彼前1:3-12,3:15"	海沃教會	
2010-02-07	黃嘉松牧師	永恆的賞賜	林後5:9-10	海沃教會	
2010-02-14	黃嘉松牧師	永恆的賞賜（二）	約2：8	海沃教會	
2010-02-21	黃嘉松牧師	永恆的賞賜（三）	約2：8	海沃教會	
2010-02-28	林力山弟兄	從新得力	賽40：29-31	海沃教會	
2010-03-07	歐穎寧牧師	"從“願”思& ldquo;源"""	約3：29-30	海沃教會	
2010-03-14	黃嘉松牧師	等候神（一)	賽40：27-31	海沃教會	
2010-03-21	黃嘉松牧師	現在就是拯救的日子	詩32	海沃教會	
2010-03-28	葉耿齊傳道	屬靈成長（三）	可 8:13-21	海沃教會	
2010-04-04	黃嘉松牧師	他復活了	太 28:1-10	海沃教會	
2010-04-11	黃嘉松牧師	等候神（二）	賽40：27-31	海沃教會	
2010-04-18	葉耿齊傳道	屬靈成長（四）	傳3：1-15	海沃教會	
2010-04-23	東方比利	灣區詩歌佈道會||- 開場影片 ||- 比利見證1||- 比利見證2		海沃教會	佈道會
2010-04-25	陳鴻沫牧師	圣潔生活的緣由	彼前1：13-23	海沃教會	
2010-05-02	黃嘉松牧師	但以理 -- 認識神掌權的人	但1:1~13	海沃教會	
2010-05-09	黃嘉松牧師	但以理 -- 認識神掌權的人(2)	但1:17~2:13	海沃教會	
2010-05-16	林力山弟兄	蒙恩的罪人	詩32	海沃教會	
2010-05-23	葉耿齊傳道	與豪豬共舞		海沃教會	
2010-05-30	黃嘉松牧師	但以理 -- 認識神掌權的人(3)	但	海沃教會	
2010-06-06	黃嘉松牧師	但以理 -- 認識神掌權的人(4)	但 3	海沃教會	
2010-06-13	黃嘉松牧師	但以理 -- 認識神掌權的人(5)	但 4	海沃教會	
2010-06-20	黃嘉松牧師	祝福你的兒女	創 48	海沃教會	
2010-06-27	林力山弟兄	喜樂的人	腓4:4-7	海沃教會	
2010-07-04	黃嘉松牧師	但以理-認識神掌權的人(六)	但5章	海沃教會	
2010-07-11	黃嘉松牧師	但以理-認識神掌權的人(七)	但6章	海沃教會	
2010-07-17	黃子嘉牧師	與主同伴同工		UC Davis	夏令會
2010-07-17	黃子嘉牧師	與主同苦同榮		UC Davis	夏令會
2010-07-17	黃子嘉牧師	與主同死同活		UC Davis	夏令會
2010-07-17	黃子嘉牧師	與主同道同行		UC Davis	夏令會
2010-07-17	黃子嘉牧師	與主同心同行		UC Davis	夏令會
2010-07-18	葉耿齊傳道	捨得	詩37：1-11	海沃教會	
2010-07-25	葉耿齊傳道	你是什麼料	撒上 17：41-47	海沃教會	
2010-08-01	Greg Eng	Greg Eng		海沃教會	
2010-08-08	黃嘉松牧師	讓基督的平安作主(一)		海沃教會	
2010-08-15	黃嘉松牧師	讓基督的平安作主(二)	羅5:1~2	海沃教會	
2010-08-22	陳鴻沫牧師	宣召與順服	賽55：1-9	海沃教會	
2010-08-29	陳肇兆牧師	團隊事奉	太4: 18-32	海沃教會	
2010-09-19	黃嘉松牧師	神的心願	"弗1:3~6,賽49:1~6"	海沃教會	
2010-09-26	黃嘉松牧師	以掃輕看長子名分	創 25：19～34	海沃教會	
2010-10-03	黃嘉松牧師	祝福滿滿（一）	弗 1：1～14	海沃教會	
2010-10-08	林三綱牧師	培靈會 (一) ：個人靈性在生活中增長	來 11：4～7	海沃教會	
2010-10-10	林三綱牧師	培靈會 (三) ：忠心事奉成全神旨意	來 11：23～31	海沃教會	
2010-10-10	林三綱牧師	培靈會 (二) ：迎接啟示中的目標	來 11：8～22	海沃教會	
2010-10-17	葉耿齊傳道	紀律之美	林前9:24~27	海沃教會	
2010-10-24	黃嘉松牧師	祝福滿滿（二）	弗 1：1～14	海沃教會	
2010-11-02	黃嘉松牧師	神最想讓人知道的一件事	弗2：1～10	海沃教會	
2010-11-14	黃嘉松牧師	神偉大的和好工作		海沃教會	mp3
2010-11-21	黃嘉松牧師	向神感恩	申 8：10～20	海沃教會	
2010-11-28	陳鴻沫牧師	怒氣與恩典	詩30：4～6	海沃教會	
2010-12-05	黃嘉松牧師	一個永世奧秘已顯現(1)|| 一個 永世奧秘已顯現(2)	弗 3：1～13	海沃教會	
2010-12-12	林安國牧師	委身不能震動的國	來12：25～29	海沃教會	
2010-12-19	黃嘉松牧師	馬利亞的敬拜	路1:46-55	海沃教會	
2010-12-26	葉耿齊傳道	無花果葉的背後	創3:8-10	海沃教會	
