2008-01-06,黃嘉松牧師,在恩典與真道上長進,約1:1~12,海沃教會,,
2008-01-13,黃嘉松牧師,興旺教會的四大柱石（1）,徒2:41-47,海沃教會,,
2008-01-20,黃嘉松牧師,興旺教會的四大柱石（2）,徒2:41-47,海沃教會,,
2008-02-03,黃嘉松牧師,興旺教會的四大柱石（3）,徒2:41-47,海沃教會,,
2008-02-10,黃嘉松牧師,不要懼怕,賽43:1-7,海沃教會,,
2008-02-17,黃嘉松牧師,不要懼怕 (2),"約14:1-9,27",海沃教會,,
2008-02-24,陳鴻沫牧師,個人的復興,"林後5:17-19,彼前2:9-10",海沃教會,,
2008-03-02,黃嘉松牧師,伯利恆的井水,撒下23:13-17,海沃教會,,
2008-03-09,黃嘉松牧師,要進窄門,路13:22-25,海沃教會,,
2008-03-16,李龍山傳道,建造合神心意的家||Building the Family ... God's Way,弗4:25-32,海沃教會,,
2008-03-23,黃嘉松牧師,遇見復活的基督,,海沃教會,,
2008-03-30,Dale Fisher 宣教士,Battling A Giant 迎戰巨人,"撒上17:4-7, 16, 33-49",海沃教會,,
2008-04-06,黃嘉松牧師,你有永生之道,約 6：66-69,海沃教會,,
2008-04-13,黃嘉松牧師,亞伯拉罕信心的旅程(1),創12：1-5,海沃教會,,
2008-04-20,黃嘉松牧師,亞伯拉罕信心的旅程(2),創12：5-9,海沃教會,,
2008-04-27,陳鴻沫牧師,(以便以謝)-幫助之石,撒上7:7-13,海沃教會,,
2008-05-04,陳鴻沫牧師,人生最重要的轉折點,耶31：15-22,海沃教會,,
2008-05-11,黃嘉松牧師,以色列的母,士4：1-5：7,海沃教會,,
2008-05-18,林力山弟兄,除舊布新,彼後1:4,海沃教會,,
2008-05-25,黃嘉松牧師,亞伯拉罕信心的旅程(3),創12:10-13:4,海沃教會,,
2008-06-01,黃嘉松牧師,當務之急,路13:1-9,海沃教會,,
2008-06-08,黃嘉松牧師,亞伯拉罕信心的旅程(4),創13:1-18,海沃教會,,
